GapBand,HighStartThreshold,HighTestIndices,HighTestMinTemp,HighTestMaxTemp,TrainMaxIndex,TrainMaxTemp,ActualGap
G20,260,62;63;64;65;66;67;68;69,260.49683,271.14553,50,239.88674,20.61009
G30,270,68;69;70;71;72;73;74;75,270.28124,280.01882,50,239.88674,30.3945
G40,280,75;76;77;78;79;80;81;82,280.01882,288.62896,50,239.88674,40.13208
G50,290,83;84;85;86;87;88;89;90,290.29161,299.39397,50,239.88674,50.40487
G62,300,91;92;93;94;95;96;97;98,301.9686,323.21159,50,239.88674,62.08186
G80,320,97;98;99;100;101;102;103;104,320.21409,338.65694,50,239.88674,80.32735
