case,T_patch_C,Ex0_Pa,a1_Pa,a2_Pa,alpha0_1_per_K,cAlpha1_1_per_K,cAlpha2_1_per_K,Ex_at_T_Pa,G12_at_T_Pa,Alpha_at_T_1_per_K,EBC_Pa,FREQ1,FREQ2,FREQ3,FREQ4,FREQ5,FREQ6
1,20,2.15E+11,-2.90E+10,-1.00E+10,1.06E-05,1.60E-06,5.50E-07,2.15E+11,8.6693548387E+10,1.06E-05,4.50E+08,43.737095,118.68838,165.25854,275.39098,368.40527,439.60409
2,120,2.15E+11,-2.90E+10,-1.00E+10,1.06E-05,1.60E-06,5.50E-07,2.084E+11,8.4032258065E+10,1.0964E-05,4.06E+08,33.838620,117.43684,155.34973,278.96165,355.65575,433.12231
3,220,2.15E+11,-2.90E+10,-1.00E+10,1.06E-05,1.60E-06,5.50E-07,2.002E+11,8.0725806452E+10,1.1416E-05,3.62E+08,20.233587,116.46618,145.30494,283.33498,338.33927,429.07674
4,320,2.15E+11,-2.90E+10,-1.00E+10,1.06E-05,1.60E-06,5.50E-07,1.904E+11,7.6774193548E+10,1.1956E-05,3.18E+08,115.82089,134.96958,288.58694,315.60277,427.36062,464.34859
5,420,2.15E+11,-2.90E+10,-1.00E+10,1.06E-05,1.60E-06,5.50E-07,1.79E+11,7.2177419355E+10,1.2584E-05,2.74E+08,115.54829,123.99153,286.18271,294.76449,427.66004,433.02924
6,520,2.15E+11,-2.90E+10,-1.00E+10,1.06E-05,1.60E-06,5.50E-07,1.66E+11,6.6935483871E+10,1.33E-05,2.30E+08,111.55563,115.69856,247.69612,301.88548,398.64854,429.61713
