Model,TrainCount,TrialIndex,SelectionReason,ParamsKeyValue,Clean_HighTest_MAPE_Mean,Raw_HighTest_MAPE_Mean,KeptRunCount,RemovedDisasterRunCount,KeptRunRate
RD_GEP,20,2,stable_best_selected,baseRandomSeed=6760;popSize=80;nGenerations=50;ridgeLambda=0.05;wFrontier=1;wDeriv=0.05;frontierBiasFraction=0.55,0.998818280949417,0.998818280949417,20,0,100
RD_GEP,25,3,stable_best_selected,baseRandomSeed=9325;popSize=90;nGenerations=55;ridgeLambda=0.08;wFrontier=1.2;wDeriv=0.05;frontierBiasFraction=0.6,0.825379908994089,0.825379908994089,20,0,100
RD_GEP,30,2,stable_best_selected,baseRandomSeed=6890;popSize=80;nGenerations=50;ridgeLambda=0.05;wFrontier=1;wDeriv=0.05;frontierBiasFraction=0.6,0.778937799038881,0.778937799038881,20,0,100
SVR_RBF,5,2,early_middle_high_selected,boxConstraint=3;kernelScale=6;epsilonScale=0.08;seed=8807;frontierBiasFraction=0.2;baseSplitSeed=5217,14.7172274779938,14.7172274779938,20,0,100
SVR_RBF,8,3,trend_preserving_selected,boxConstraint=10;kernelScale=3.5;epsilonScale=0.05;seed=8931;frontierBiasFraction=0.3;baseSplitSeed=5347,13.0968644400366,13.0968644400366,20,0,100
SVR_RBF,11,3,trend_preserving_selected,boxConstraint=10;kernelScale=3.5;epsilonScale=0.05;seed=9054;frontierBiasFraction=0.4;baseSplitSeed=5476,10.6066339569952,10.6066339569952,20,0,100
SVR_RBF,14,3,best_available_trend_gap,boxConstraint=10;kernelScale=3.5;epsilonScale=0.05;seed=9177;frontierBiasFraction=0.45;baseSplitSeed=5605,10.6497231544676,10.6497231544676,20,0,100
SVR_RBF,17,3,trend_preserving_selected,boxConstraint=10;kernelScale=3.5;epsilonScale=0.05;seed=9300;frontierBiasFraction=0.5;baseSplitSeed=5734,9.16705534499298,9.16705534499298,20,0,100
SVR_RBF,20,3,stable_best_selected,boxConstraint=10;kernelScale=3.5;epsilonScale=0.05;seed=9423;frontierBiasFraction=0.55;baseSplitSeed=5863,9.16869730960977,9.16869730960977,20,0,100
SVR_RBF,25,3,stable_best_selected,boxConstraint=10;kernelScale=3.5;epsilonScale=0.05;seed=9628;frontierBiasFraction=0.6;baseSplitSeed=6078,8.09762868332517,8.09762868332517,20,0,100
SVR_RBF,30,3,stable_best_selected,boxConstraint=10;kernelScale=3.5;epsilonScale=0.05;seed=9833;frontierBiasFraction=0.6;baseSplitSeed=6293,8.3868967686886,8.3868967686886,20,0,100
